name,type,parent,,
Tedder,city,Broward,,
Terra Mar,city,Broward,,
The Cove,city,Broward,,
Twin Lakes,city,Broward,,
Utopia,city,Broward,,
Village Park,city,Broward,,
Washington Park,city,Broward,,
West Deerfield Beach,city,Broward,,
West Dixie Bend,city,Broward,,
West Hollywood,city,Broward,,
West Park,city,Broward,,
Westgate Lake Manor,city,Broward,,
Weston,city,Broward,,
Wilton Manors,city,Broward,,
Woodsetter North,city,Broward,,
Altha,city,Calhoun,,
Blountstown,city,Calhoun,,
Broad Branch,city,Calhoun,,
Chason,city,Calhoun,,
Chipola,city,Calhoun,,
Clarksville,city,Calhoun,,
Cox,city,Calhoun,,
Dickerson City,city,Calhoun,,
Durham,city,Calhoun,,
Fisher Corner,city,Calhoun,,
Frink,city,Calhoun,,
Henderson Mill,city,Calhoun,,
Kinard,city,Calhoun,,
Leonards,city,Calhoun,,
McNeal,city,Calhoun,,
New Hope,city,Calhoun,,
Ocheesee,city,Calhoun,,
Rollins Corner,city,Calhoun,,
Scotts Ferry,city,Calhoun,,
Selman,city,Calhoun,,
Sharpstown,city,Calhoun,,
Willis,city,Calhoun,,
Acline,city,Charlotte,,
Aqui Esta,city,Charlotte,,
Bermont,city,Charlotte,,
Cape Haze,city,Charlotte,,
Charlotte Harbor,city,Charlotte,,
Charlotte Park,city,Charlotte,,
Cleveland,city,Charlotte,,
El Jobean,city,Charlotte,,
Gilchrist,city,Charlotte,,
Grove City,city,Charlotte,,
Harbor View,city,Charlotte,,
Harbour Heights,city,Charlotte,,
Manasota Key,city,Charlotte,,
Morgantown,city,Charlotte,,
Murdock,city,Charlotte,,
New Point Comfort,city,Charlotte,,
Peace Shores River,city,Charlotte,,
Pirate Harbor,city,Charlotte,,
Placida,city,Charlotte,,
Port Charlotte,city,Charlotte,,
Punta Gorda,city,Charlotte,,
Punta Gorda Beach,city,Charlotte,,
Punta Gorda Isles,city,Charlotte,,
Ridge Harbor,city,Charlotte,,
Rotonda,city,Charlotte,,
Sans Souci,city,Charlotte,,
Solana,city,Charlotte,,
South Punta Gorda Heights,city,Charlotte,,
Tee and Green Estates,city,Charlotte,,
Tropical Gulf Acres,city,Charlotte,,
Tuckers Corner,city,Charlotte,,
Arlington,city,Citrus,,
Beverly Hills,city,Citrus,,
Black Diamond,city,Citrus,,
Catawba,city,Citrus,,
Chassahowitzka,city,Citrus,,
Citronelle,city,Citrus,,
Citrus Hills,city,Citrus,,
Citrus Springs,city,Citrus,,
Crystal River,city,Citrus,,
Cutlers,city,Citrus,,
Floral City,city,Citrus,,
Hernando,city,Citrus,,
Holder,city,Citrus,,
Homosassa,city,Citrus,,
Homosassa Springs,city,Citrus,,
Inverness,city,Citrus,,
Landrum,city,Citrus,,
Lecanto,city,Citrus,,
Ozello,city,Citrus,,
Paradise Point,city,Citrus,,
Pine Ridge,city,Citrus,,
Pineola,city,Citrus,,
Red Level,city,Citrus,,
Sugarmill woods,city,Citrus,,
Asbury Lake,city,Clay,,
Bellair,city,Clay,,
Belmore,city,Clay,,
Camp Echockotee,city,Clay,,
Doctors Inlet,city,Clay,,
Fellowship Park,city,Clay,,
Fleming Island,city,Clay,,
Green Cove Springs,city,Clay,,
Hibernia,city,Clay,,
Highland,city,Clay,,
Holly Point,city,Clay,,
Hugh,city,Clay,,
Keystone Heights,city,Clay,,
Kingsley,city,Clay,,
Kingsley Beach,city,Clay,,
Kingsley Village,city,Clay,,
Lake Geneva,city,Clay,,
Lakeside,city,Clay,,
Laurel Grove,city,Clay,,
Leno,city,Clay,,
Loch Lommond,city,Clay,,
Magnolia Springs,city,Clay,,
Meadowbrook Terrace,city,Clay,,
Middleburg,city,Clay,,
Neilhurst,city,Clay,,
North Meadowbrook Terrace,city,Clay,,
Oakleaf Plantation,city,Clay,,
Orange Park,city,Clay,,
Pass Station,city,Clay,,
Penney Farms,city,Clay,,
Rideout,city,Clay,,
Ridgewood,city,Clay,,
Russell,city,Clay,,
Walkill,city,Clay,,
West Tocoi,city,Clay,,
Belle Meade,city,Collier,,
Carnestown,city,Collier,,
Chokoloskee,city,Collier,,
Copeland,city,Collier,,
Corkscrew,city,Collier,,
East Naples,city,Collier,,
Everglades,city,Collier,,
Fakahatchee,city,Collier,,
Golden Gate,city,Collier,,
Goodland,city,Collier,,
Harker,city,Collier,,
Immokalee,city,Collier,,
Immokalee Reservation,city,Collier,,
Island Walk,city,Collier,,
Isles of Capri,city,Collier,,
Jerome,city,Collier,,
Lee Cypress,city,Collier,,
Lely,city,Collier,,
Lely Resort,city,Collier,,
Marco,city,Collier,,
Marco Island,city,Collier,,
Miles City,city,Collier,,
Naples,city,Collier,,
Naples Manor,city,Collier,,
Naples Park,city,Collier,,
North Naples,city,Collier,,
Ochopee,city,Collier,,
Old Grove,city,Collier,,
Old Marco Junction,city,Collier,,
Orangetree,city,Collier,,
Palm River,city,Collier,,
Palm River Estates,city,Collier,,
Pelican Bay,city,Collier,,
Pine Ridge,city,Collier,,
Plantation Island,city,Collier,,
Rock Island,city,Collier,,
Royal Palm Hammock,city,Collier,,
Shell Island,city,Collier,,
Sunniland,city,Collier,,
Trailtown,city,Collier,,
Turkey Foot,city,Collier,,
Vanderbilt Beach,city,Collier,,
Verona Walk,city,Collier,,
Vineyards,city,Collier,,
Wagon Wheel,city,Collier,,
Bass,city,Columbia,,
Benton,city,Columbia,,
Columbia,city,Columbia,,
Deep Creek,city,Columbia,,
Ellisville,city,Columbia,,
Fairview,city,Columbia,,
Five Points,city,Columbia,,
Fort White,city,Columbia,,
Greenfield,city,Columbia,,
Hollingsworth Bluff,city,Columbia,,
Lacymark,city,Columbia,,
Lake City,city,Columbia,,
Lulu,city,Columbia,,
Mason,city,Columbia,,
Mikesville,city,Columbia,,
Mount Carrie,city,Columbia,,
Myrtis,city,Columbia,,
Navair,city,Columbia,,
Newco,city,Columbia,,
Springville,city,Columbia,,
Suwannee Valley,city,Columbia,,
Watertown,city,Columbia,,
Wilburn,city,Columbia,,
Winfield,city,Columbia,,
Deer Park,city,Osceola,,
Arcadia,city,Desoto,,
Brownville,city,Desoto,,
Cubitis,city,Desoto,,
Fort Ogden,city,Desoto,,
Hull,city,Desoto,,
Joshua,city,Desoto,,
Lake Suzy,city,Desoto,,
Lansing,city,Desoto,,
Nocatee,city,Desoto,,
Pine Level,city,Desoto,,
Platt,city,Desoto,,
Southfort,city,Desoto,,
Cross City,city,Dixie,,
Eugene,city,Dixie,,
Hines,city,Dixie,,
Horseshoe Beach,city,Dixie,,
Jena,city,Dixie,,
Jonesboro,city,Dixie,,
Old Town,city,Dixie,,
Shamrock,city,Dixie,,
Shired Island,city,Dixie,,
Suwannee,city,Dixie,,
Yellow Jacket,city,Dixie,,
Arlington,city,Duval,,
Atlantic Beach,city,Duval,,
Avondale,city,Duval,,
Baldwin,city,Duval,,
Bayard,city,Duval,,
Beacon Hills,city,Duval,,
Beauclerc Manor,city,Duval,,
Beechwood,city,Duval,,
Beeghly Heights,city,Duval,,
Beverly Hills,city,Duval,,
Biltmore,city,Duval,,
Biscayne Village,city,Duval,,
Bowden,city,Duval,,
Brentwood,city,Duval,,
Brooklyn,city,Duval,,
Caleb,city,Duval,,
Cambon,city,Duval,,
Carver Manor,city,Duval,,
Cary,city,Duval,,
Cedar Hills,city,Duval,,
Cedar Hills Estates,city,Duval,,
Cedar Point,city,Duval,,
Center Park,city,Duval,,
Cosmo,city,Duval,,
Dames Point,city,Duval,,
Dames Point Manor,city,Duval,,
Deerwood Club,city,Duval,,
Dewey Park,city,Duval,,
Dinsmore,city,Duval,,
Donner,city,Duval,,
Dunn Creek,city,Duval,,
Duval,city,Duval,,
East Mandarin,city,Duval,,
Eastport,city,Duval,,
Eggleston Heights,city,Duval,,
Enchanted Park,city,Duval,,
Englewood,city,Duval,,
Fiftone,city,Duval,,
Floral Bluff,city,Duval,,
Fort Caroline,city,Duval,,
Fort George Island,city,Duval,,
Garden City,city,Duval,,
Gilmore,city,Duval,,
Goodbys,city,Duval,,
Grand Crossing,city,Duval,,
Grand Park,city,Duval,,
Greenfield,city,Duval,,
Greenland,city,Duval,,
Halsema,city,Duval,,
Harbor View,city,Duval,,
Hart Haven,city,Duval,,
Highlands,city,Duval,,
Hogan,city,Duval,,
Holiday Harbor,city,Duval,,
Holly Ford,city,Duval,,
Hyde Grove,city,Duval,,
Hyde Park,city,Duval,,
Isle of Palms,city,Duval,,
Isle of Palms South,city,Duval,,
Jacksonville,city,Duval,,
Jacksonville Beach,city,Duval,,
Jacksonville Heights,city,Duval,,
Lackawanna,city,Duval,,
Lake Forest,city,Duval,,
Lake Forest Hills,city,Duval,,
Lake Forest Manor,city,Duval,,
Lake Park Estates,city,Duval,,
Lake Shore,city,Duval,,
Lakewood,city,Duval,,
Langmar,city,Duval,,
Larsen,city,Duval,,
Loretto,city,Duval,,
Magnolia Gardens,city,Duval,,
Mandarin,city,Duval,,
Manhattan Beach,city,Duval,,
Marietta,city,Duval,,
Maxville,city,Duval,,
Mayport,city,Duval,,
Miramar Terrace,city,Duval,,
Murray Hill,city,Duval,,
Neptune Beach,city,Duval,,
New Berlin,city,Duval,,
Newcastle,city,Duval,,
Normandy,city,Duval,,
Normandy Village,city,Duval,,
North Oak Hill,city,Duval,,
North Shore,city,Duval,,
Oak Harbor,city,Duval,,
Oak Hill,city,Duval,,
Oak Hill Park,city,Duval,,
Oakwood Villa,city,Duval,,
Oceanway,city,Duval,,
Ortega,city,Duval,,
Ortega Farms,city,Duval,,
Ortega Forest,city,Duval,,
Ortega Terrace,city,Duval,,
Otis,city,Duval,,
Pablo Keys,city,Duval,,
Panama Park,city,Duval,,
Pearl Court,city,Duval,,
Pecan Park,city,Duval,,
Pickettville,city,Duval,,
Plummer,city,Duval,,
Polly Town,city,Duval,,
Quinlan,city,Duval,,
Ribault Manor,city,Duval,,
Riverside,city,Duval,,
Riverview,city,Duval,,
Royal Terrace,city,Duval,,
Saint Johns Park,city,Duval,,
Saint Nicholas,city,Duval,,
San Jose,city,Duval,,
San Jose Forest,city,Duval,,
San Marco,city,Duval,,
San Mateo,city,Duval,,
San Pablo,city,Duval,,
Sandalwood,city,Duval,,
Sans Pariel,city,Duval,,
Shady Rest,city,Duval,,
Sherwood Forest,city,Duval,,
South Jacksonville,city,Duval,,
South Metro,city,Duval,,
Southridge,city,Duval,,
Southside Estates,city,Duval,,
Spaulding,city,Duval,,
Spring Glen,city,Duval,,
Springfield,city,Duval,,
Stockade,city,Duval,,
Sunbeam,city,Duval,,
Sweetwater,city,Duval,,
Talleyrand,city,Duval,,
Tisonia,city,Duval,,
Venetia,city,Duval,,
Venetia Terrace,city,Duval,,
Wesconnett,city,Duval,,
West Jacksonville,city,Duval,,
Westwood,city,Duval,,
Whitehouse,city,Duval,,
Wonderwood,city,Duval,,
Yellow Bluff Fort,city,Duval,,
Yukon,city,Duval,,
Barrineau Park,city,Escambia,,
Barth,city,Escambia,,
Bay Springs,city,Escambia,,
Beach Haven,city,Escambia,,
Bellview,city,Escambia,,
Beulah,city,Escambia,,
Bluff Springs,city,Escambia,,
Bogia,city,Escambia,,
Bohemia,city,Escambia,,
Bratt,city,Escambia,,
Brent,city,Escambia,,
Brickton,city,Escambia,,
Brownsville,city,Escambia,,
Byrneville,city,Escambia,,
Cantonment,city,Escambia,,
Century,city,Escambia,,
Cottage Hill,city,Escambia,,
East Pensacola Heights,city,Escambia,,
Enon,city,Escambia,,
Ensley,city,Escambia,,
Farm Hill,city,Escambia,,
Ferry Pass,city,Escambia,,
Fort Pickens,city,Escambia,,
Gaberonne,city,Escambia,,
Gandyville,city,Escambia,,
Gonzalez,city,Escambia,,
Goulding,city,Escambia,,
Gulf Beach Heights,city,Escambia,,
Happy Valley,city,Escambia,,
McDavid,city,Escambia,,
McKinnon,city,Escambia,,
Millview,city,Escambia,,
Molino,city,Escambia,,
Molino Crossroads,city,Escambia,,
Muscogee,city,Escambia,,
Myrtle Grove,city,Escambia,,
Navy Point,city,Escambia,,
Oak Grove,city,Escambia,,
Olive,city,Escambia,,
Paradise Beach,city,Escambia,,
Pensacola,city,Escambia,,
Pensacola Beach,city,Escambia,,
Perdido Bay,city,Escambia,,
Perdido Heights,city,Escambia,,
Perdido Key,city,Escambia,,
Pine Barren,city,Escambia,,
Pine Forest,city,Escambia,,
Pineville,city,Escambia,,
Pleasant Grove,city,Escambia,,
Quinavista,city,Escambia,,
Quintette,city,Escambia,,
Ramsey Beach,city,Escambia,,
Riverview,city,Escambia,,
Sanders Beach,city,Escambia,,
Seaglades,city,Escambia,,
Tenile,city,Escambia,,
Treasure Hill Park,city,Escambia,,
Villa Sabine,city,Escambia,,
Walnut Hill,city,Escambia,,
Warrington,city,Escambia,,
West Pensacola,city,Escambia,,
Yniestra,city,Escambia,,
Andalusia,city,Flagler,,
Beverly Beach,city,Flagler,,
Bimini,city,Flagler,,
Black Point,city,Flagler,,
Bon Terra,city,Flagler,,
Bunnell,city,Flagler,,
Codys Corner,city,Flagler,,
Deanville,city,Flagler,,
Dinner Island,city,Flagler,,
Dupont,city,Flagler,,
Espanola,city,Flagler,,
Favoretta,city,Flagler,,
Flagler Beach,city,Flagler,,
Korona,city,Flagler,,
Marineland,city,Flagler,,
Myrtle Island,city,Flagler,,
Neoga,city,Flagler,,
Painters Hill,city,Flagler,,
Palm Coast,city,Flagler,,
Relay,city,Flagler,,
Roy,city,Flagler,,
Saint Johns Park,city,Flagler,,
Shell Bluff,city,Flagler,,
Apalachicola,city,Franklin,,
Bay City,city,Franklin,,
Beverly,city,Franklin,,
Brickyard,city,Franklin,,
Carrabelle,city,Franklin,,
Carrabelle Beach,city,Franklin,,
Carrabelle Lighthouse,city,Franklin,,
Creels,city,Franklin,,
Eastpoint,city,Franklin,,
Eleven Mile,city,Franklin,,
Fort Gadsden,city,Franklin,,
Franklin,city,Franklin,,
Green Point,city,Franklin,,
Hays Place,city,Franklin,,
High Bluff,city,Franklin,,
Lanark Village,city,Franklin,,
Magnolia Bluffs,city,Franklin,,
McIntyre,city,Franklin,,
Morgan Place,city,Franklin,,
Nine Mile,city,Franklin,,
Saint George Island,city,Franklin,,
Saint Teresa,city,Franklin,,
Tilton,city,Franklin,,
Branchville,city,Gadsden,,
Chattahoochee,city,Gadsden,,
Concord,city,Gadsden,,
Darsey,city,Gadsden,,
Dogtown,city,Gadsden,,
Douglas City,city,Gadsden,,
Florence,city,Gadsden,,
Freemont,city,Gadsden,,
Gibson,city,Gadsden,,
Greensboro,city,Gadsden,,
Gretna,city,Gadsden,,
Hardaway,city,Gadsden,,
Hardin Heights,city,Gadsden,,
Havana,city,Gadsden,,
Hinson,city,Gadsden,,
Jamieson,city,Gadsden,,
Juniper,city,Gadsden,,
Lake View Point,city,Gadsden,,
Littman,city,Gadsden,,
Midway,city,Gadsden,,
Mount Pleasant,city,Gadsden,,
Oak Grove,city,Gadsden,,
Quincy,city,Gadsden,,
Rich Bay,city,Gadsden,,
